Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/01/2019,54.3,30.5,42,24.9,,,,13,,22.8,44.69,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/02/2019,63.2,40.4,51.5,39.6,,,,14.5,,13.3,43.61,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/03/2019,71.7,37.3,56.3,,,,,8.5,,21.1,48.72,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/04/2019,68.5,47.2,59.2,48,,,,16.1,31.1,38.1,55.29,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/05/2019,63.2,55.7,58.7,,,0.4,,7.7,,40.2,81.75,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/06/2019,77.5,48.2,63.6,,,,,6.3,,33.5,69.09,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/07/2019,73.3,60.9,65.3,,,0.9,,12.8,,43.4,85.13,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/08/2019,67.2,61.6,64.3,,,1.4,,9,,37.4,90.64,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/09/2019,79.6,58,67.8,,,,,14,,25.7,66.45,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/10/2019,82.7,49.3,67,,80.6,,,9.6,,12.1,47.99,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/11/2019,84.5,63.9,74.9,,83.3,,,26.7,39.1,45.1,47.92,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/12/2019,75.1,58.2,65.5,,,0.1,,17.6,34.4,41.2,66.7,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/13/2019,63.4,55.3,58.9,,,0.2,,7.1,,47.6,82.33,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/14/2019,73.7,45.3,60.6,38.7,,1.3,,27.4,40.9,40.3,74.28,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/15/2019,65,37.7,51.2,35.5,,,,10.6,,10.7,57.05,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/16/2019,78.9,43.6,62.6,,,,,16.3,,16,54.22,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/17/2019,78.2,56.3,68.4,,,,,16.5,,36.4,51.98,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/18/2019,77.5,59.5,68,,,0.7,,18.8,34.4,42.7,66.74,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/19/2019,59.5,43.3,50,37.9,,0.6,,16.8,,42.6,90.06,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/20/2019,50,40,44.3,32.8,,0.4,,12.6,,37.8,87.35,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/21/2019,73.6,36.6,55.1,,,,,6.1,,5,61.93,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/22/2019,82.3,45.2,64.6,,80.6,,,11,,7.7,55.91,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/23/2019,79.6,54.4,68.5,,,,,14.6,,27.1,56.35,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/24/2019,81.2,54.4,69.5,,80.7,,,9.8,,34,59.76,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/25/2019,75.5,61.3,67.5,,,0.2,,20.8,35.6,46.3,72.55,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/26/2019,71.4,51.4,63,,,,,20.9,36.7,20.3,55.56,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",04/27/2019,75.4,43.2,61.6,,,,,18.9,,22.5,52.36,Clear
