Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/01/2019,54.6,45.3,49.4,42.5,,,,9.7,,39.5,78.09,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/02/2019,46.7,43.3,45.1,40.7,,0.4,,6.2,,40.1,85.33,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/03/2019,43.6,40,42.4,34.2,,0.1,,9.1,,40.9,88.02,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/04/2019,56.4,41.8,47.4,35.9,,0.3,,15,29.8,39.5,89.77,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/05/2019,59.5,36.7,45.7,33.4,,,,9.6,,6.2,74.53,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/06/2019,63.3,34.5,48.2,47.5,,,,5.9,,17.6,73.94,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/07/2019,64.3,45.2,56.9,47.5,,,,19.4,31.1,35,58.46,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/08/2019,69.9,45.4,58.8,42.4,,,,22.6,36.7,24.4,58.54,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/09/2019,46.7,30.5,40.2,22.6,,,,16.7,29.8,1.2,45.25,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/10/2019,36.2,23.5,29.4,13.3,,,,9.9,,13.7,57.74,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",01/11/2019,41.9,23.3,34,17,,,,5.3,,27,58.53,Partially cloudy
