Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/01/2019,92.7,71.9,82.5,,96,,,12.2,,25.8,61.86,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/02/2019,91,72.9,82.1,,96.5,,,10.6,,47.4,68.45,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/03/2019,90.5,73.2,81.3,,95.2,0.2,,7.2,,74.8,70.86,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/04/2019,88.8,71.6,76.7,,96.3,0.2,,16,31.2,77.5,83.09,"Rain, Overcast"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/05/2019,89.9,71.7,80.5,,98.1,,,11.1,,64.7,76.01,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/06/2019,91.9,71.7,79.8,,98,0.1,,9.8,31.1,55.7,74.27,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/07/2019,92.5,74.8,80.5,,102,0.4,,8.8,34.4,84.7,77.6,"Rain, Overcast"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/08/2019,92.7,73.8,83.3,,100.7,,,10.3,,46.8,70.1,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/09/2019,94.8,75.4,84.9,,101.3,,,6.8,,37.5,62.39,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/10/2019,91.2,74.7,81.9,,98.4,,,10.2,,50.3,73.17,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/11/2019,93.4,74.1,82.7,,102.3,,,10.3,,43,71.38,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/12/2019,91.7,72.9,82.7,,95.7,,,9.8,,26.4,67.07,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/13/2019,93.4,74.8,82.4,,99.8,,,14.3,,37.9,69.99,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/14/2019,86.1,73.7,78.7,,90,,,9.1,,40.9,79.03,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/15/2019,85.6,72.2,77.3,,90.3,,,12.9,,42.4,79.37,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/16/2019,90.8,75.8,81.4,,96.1,,,18.2,32.2,40.9,69.86,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/17/2019,89.3,75.5,81.1,,99.5,,,14.2,,40.9,77.76,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/18/2019,89.5,72.6,78.9,,99.3,0.2,,14.3,29.8,40.9,81.45,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/19/2019,93.8,73.2,83.6,,101.6,,,9.2,,34.2,71.96,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/20/2019,93.8,74.4,83.5,,101.5,0.5,,18.6,37.8,30.9,71.46,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/21/2019,87.9,71.7,78.9,,97,0.1,,9.6,,34.1,82.03,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/22/2019,89.3,71.8,78.3,,97.9,2.4,,13.7,,39,84.57,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/23/2019,82.3,67.3,73.6,,82,0.2,,15.9,,35.9,67.81,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/24/2019,83,60.5,72.6,,82.2,,,12.1,,6.2,60.92,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/25/2019,85.6,58.7,73.2,,83.5,,,7.5,,6.8,61.6,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/26/2019,89,63.2,76.6,,87.5,,,7.4,,17.2,62.15,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/27/2019,90.8,65.2,78.5,,90.7,,,9.5,,15.7,65.58,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/28/2019,91.6,68,80.3,,92.4,,,9.1,,16.8,64.3,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/29/2019,91.6,68.4,80.5,,92.6,,,12.7,,21.7,64.38,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/30/2019,89.5,72.2,78.6,,93,0.7,,11.5,,41.3,74.97,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",07/31/2019,89.4,68.8,79.2,,91.6,,,9.6,,25,70.17,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",08/01/2019,90.4,69.5,79.9,,93.3,,,11.4,,27.2,65.08,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",08/02/2019,90.2,68.9,79.1,,93.3,0.9,,8.5,48.3,22.9,70.14,"Rain, Clear"
